과제곡 번호,영상 이름,실 BPM,시작 시간,수록 게임,곡 이름,아티스트 명의,인게임 레벨,표기 BPM
1,video1,155,70,beatmania IIDX 9th style,quasar,OutPhase,SPA 11,155
2,video2,145,73,beatmania IIDX 12 HAPPY SKY,Pollinosis,DJ Remo-con,SPA 11,145
3,video3,150,84,beatmania IIDX 14 GOLD,GOLDEN CROSS,DJ Remo-con VS dj TAKA,SPA 12,150
4,video4,150,78,beatmania IIDX 17 SIRIUS,ワルツ第17番 ト短調 '大犬のワルツ',Virkato,SPA 12,230~320
5,video5,200,79,beatmania IIDX 19 Lincle,The Limbo,STN,SPA,200
6,video6,101,40,beatmania IIDX 23 copula,199024club -Re:BounceKiller-,DJ Mass MAD Izm*,SPA 12,101
7,video7,160,66,beatmania IIDX 28 BISTROVER,Rubrum Piano,Xceon,SPA 11,160
8,video8,155,87,beatmania IIDX 30 RESIDENT,罪過の聖堂,OSTER project,SPA 10,40~165
9,video9,185,44,beatmania IIDX 31 EPOLIS,Level 5,Yamato,SPA 12,185
10,video10,165,57,pop'n music 5,LA LA LA LA YO-DEL,DJ SIMON,EX 37,165
